date,instrument,contract,reason,qty,open,high,low,settle,hypothetical_fill,first_day_pnl,five_day_pnl
2021-03-17,AL,AL2104.SHF,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-181,17520.0,17750.0,17520.0,17640.0,17515.0,-113125.0,384625.0
2021-05-17,AP,AP2110.ZCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-21,5698.0,5829.0,5698.0,5782.0,5696.0,-18060.0,-18690.0
2021-06-15,FG,FG2109.ZCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,24,2709.0,2709.0,2622.0,2652.0,2711.0,-28320.0,-13920.0
2021-06-25,AL,AL2107.SHF,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-171,18630.0,18970.0,18630.0,18820.0,18625.0,-166725.0,132525.0
2021-07-05,AP,AP2110.ZCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-10,6180.0,6297.0,6180.0,6256.0,6178.0,-7800.0,-2700.0
2021-08-30,FG,FG2201.ZCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-101,2640.0,2719.0,2640.0,2677.0,2638.0,-78780.0,-189880.0
2021-09-27,AP,AP2201.ZCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,90,6359.0,6359.0,6122.0,6225.0,6361.0,-122400.0,-648000.0
2021-10-08,CF,CF2201.ZCE,DAILY_ONE_PRICE_DIRECTIONAL_PROXY_REJECT,105,21255.0,21255.0,21255.0,21255.0,21265.0,-5250.0,-2063250.0
2021-10-08,UR,UR2201.ZCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,110,3170.0,3170.0,3076.0,3137.0,3172.0,-77000.0,-789800.0
2021-10-11,CF,CF2201.ZCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,88,22200.0,22200.0,21015.0,21605.0,22210.0,-266200.0,-1753400.0
2021-11-26,RU,RU2201.SHF,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,55,15465.0,15470.0,14860.0,15150.0,15475.0,-178750.0,-387750.0
2021-11-29,RB,RB2201.SHF,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-234,4295.0,4465.0,4294.0,4396.0,4294.0,-238680.0,-58500.0
2021-12-20,M,M2205.DCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,582,3180.0,3180.0,3138.0,3159.0,3182.0,-133860.0,-279360.0
2022-01-10,SC,SC2203.INE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,13,516.1,516.1,505.3,510.0,516.3000000000001,-81900.00000000089,-289900.0000000009
2022-03-21,AL,AL2204.SHF,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-195,22580.0,23275.0,22580.0,23010.0,22575.0,-424125.0,653250.0
2022-04-06,RU,RU2209.SHF,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-120,13840.0,13995.0,13830.0,13895.0,13830.0,-78000.0,246000.0
2022-05-09,LH,LH2209.DCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-3,18715.0,19240.0,18715.0,18945.0,18705.0,-11520.0,10320.0
2022-05-09,UR,UR2209.ZCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-193,2963.0,3018.0,2963.0,2993.0,2961.0,-123520.0,119660.0
2022-05-27,AL,AL2206.SHF,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-279,20515.0,20840.0,20515.0,20740.0,20510.0,-320850.0,-313875.0
2022-06-13,RB,RB2210.SHF,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,1169,4793.0,4793.0,4660.0,4716.0,4794.0,-911820.0,-233800.0
